Chr	start	end	name
chr1	1098070	1098071	cg21778193
chr1	1100493	1100494	cg21475076
chr1	2467096	2467097	cg06415891
chr1	2931557	2931558	cg25037000
chr1	3605087	3605088	cg04159546
chr1	27189985	27189986	cg07786675
chr1	38126628	38126629	cg14076729
chr1	38495051	38495052	cg16317038
chr1	95699097	95699098	cg03123541
chr1	150947949	150947950	cg22012583
chr1	156361263	156361264	cg20871559
chr1	202778869	202778870	cg21105875
chr1	203242601	203242602	cg17220161
chr1	211652549	211652550	cg14264194
chr1	221051117	221051118	cg03329019
chr2	71123233	71123234	cg19185846
chr2	74642838	74642839	cg03292743
chr2	74668477	74668478	cg00326131
chr2	121338544	121338545	cg09408902
chr2	162096032	162096033	cg04196143
chr2	220402771	220402772	cg02197228
chr2	232348684	232348685	cg15371801
chr3	13462465	13462466	cg24642820
chr3	46618668	46618669	cg20941258
chr3	50359849	50359850	cg12150256
chr3	120003547	120003548	cg24942922
chr3	134031663	134031664	cg01342115
chr3	194014745	194014746	cg11324650
chr4	77723057	77723058	cg14160968
chr4	144256835	144256836	cg01601573
chr5	71853215	71853216	cg25125298
chr5	77144016	77144017	cg08216684
chr5	131281432	131281433	cg25547332
chr5	159560692	159560693	cg06687640
chr6	26017280	26017281	cg07816556
chr6	26017619	26017620	cg08511651
chr6	28829640	28829641	cg17774102
chr6	30850868	30850869	cg24727290
chr6	32165200	32165201	cg08801479
chr6	41338345	41338346	cg12453228
chr6	41375153	41375154	cg20703261
chr6	75912711	75912712	cg03503642
chr6	156718288	156718289	cg05225634
chr7	127910927	127910928	cg08234689
chr7	149410923	149410924	cg09089451
chr7	150644631	150644632	cg11857646
chr8	21775764	21775765	cg05998295
chr8	124217760	124217761	cg21215576
chr9	98534327	98534328	cg21198712
chr9	99382466	99382467	cg02024846
chr9	130700866	130700867	cg23006204
chr9	132948449	132948450	cg13734535
chr9	139023169	139023170	cg13641713
chr9	139259074	139259075	cg18033770
chr10	43522343	43522344	cg08461752
chr10	44878373	44878374	cg19959917
chr10	45374906	45374907	cg20638675
chr10	70322442	70322443	cg19127638
chr10	88428117	88428118	cg19286437
chr11	44541905	44541906	cg25317631
chr11	46317859	46317860	cg20068058
chr11	116661388	116661389	cg09044186
chr12	50497827	50497828	cg24210717
chr12	51786038	51786039	cg01568522
chr12	56617730	56617731	cg19893439
chr12	120835721	120835722	cg05412788
chr13	20875399	20875400	cg13206556
chr13	77461335	77461336	cg25968569
chr13	113777013	113777014	cg05092353
chr14	21090883	21090884	cg12043200
chr14	31343283	31343284	cg26107597
chr14	100631798	100631799	cg16800939
chr14	103012188	103012189	cg11097968
chr14	103393970	103393971	cg23897302
chr14	103605307	103605308	cg01937803
chr15	40572794	40572795	cg19143959
chr15	59157123	59157124	cg08889009
chr15	59157857	59157858	cg02754470
chr15	69744466	69744467	cg26218577
chr15	72977851	72977852	cg25924688
chr15	90543392	90543393	cg19925872
chr16	4665298	4665299	cg07870378
chr16	49872492	49872493	cg02136452
chr16	54228323	54228324	cg27520536
chr16	67430454	67430455	cg05413199
chr16	86611714	86611715	cg06114987
chr16	88448561	88448562	cg01914059
chr17	1395864	1395865	cg08378788
chr17	1835735	1835736	cg25453677
chr17	27917879	27917880	cg08217285
chr17	36997420	36997421	cg19817652
chr17	37782302	37782303	cg05897163
chr17	40806193	40806194	cg23694533
chr17	42452426	42452427	cg14686645
chr17	45949828	45949829	cg01135546
chr17	48070354	48070355	cg12165772
chr17	72358055	72358056	cg11541486
chr17	74350942	74350943	cg00549574
chr17	74524371	74524372	cg08289350
chr17	76338660	76338661	cg00424451
chr17	79306875	79306876	cg02399371
chr19	8273693	8273694	cg24413781
chr19	33723713	33723714	cg24942458
chr19	36485356	36485357	cg19389372
chr19	45826152	45826153	cg24083746
chr19	49244040	49244041	cg10347828
chr19	55885168	55885169	cg06462065
chr19	55887905	55887906	cg25921357
chr19	56000944	56000945	cg25240254
chr20	61002657	61002658	cg06154311
chr22	38199880	38199881	cg02477448
chr22	45705034	45705035	cg15477144
