chr	start	end	name
chr5	51426	51427	cg08767686
chr5	415885	415886	cg07599136
chr5	496464	496465	cg23251141
chr5	759544	759545	cg04225785
chr5	980708	980709	cg22203890
chr5	1049595	1049596	cg10496840
chr5	1850140	1850141	cg08347626
chr5	2334885	2334886	cg05465604
chr5	2415878	2415879	cg22425359
chr5	2416025	2416026	cg26958838
chr5	2686987	2686988	cg14707974
chr5	3092821	3092822	cg04611466
chr5	3301621	3301622	cg20683267
chr5	3605884	3605885	cg24139639
chr5	5492401	5492402	cg09459529
chr5	6775909	6775910	cg20710519
chr5	11588971	11588972	cg01937840
chr5	12176144	12176145	cg16142488
chr5	13810195	13810196	cg20738735
chr5	13994787	13994788	cg08525713
chr5	14581404	14581405	cg01809941
chr5	14926200	14926201	cg07340025
chr5	15502456	15502457	cg23041295
chr5	15834770	15834771	cg19641327
chr5	15932416	15932417	cg25623727
chr5	16843340	16843341	cg09169455
chr5	18746010	18746011	cg21806580
chr5	23411506	23411507	cg05205314
chr5	23506738	23506739	cg04362002
chr5	23507644	23507645	cg22079902
chr5	27038802	27038803	cg11155432
chr5	31048607	31048608	cg04664465
chr5	34743138	34743139	cg12427317
chr5	35940037	35940038	cg07741805
chr5	36662829	36662830	cg15355952
chr5	37208976	37208977	cg14824766
chr5	38445774	38445775	cg05530317
chr5	40834228	40834229	cg15130459
chr5	40835760	40835761	cg17351974
chr5	41968441	41968442	cg05226242
chr5	42756851	42756852	cg23688479
chr5	42943857	42943858	cg03124514
chr5	43037123	43037124	cg10994149
chr5	43038611	43038612	cg11382082
chr5	43515805	43515806	cg05465935
chr5	43631579	43631580	cg09560636
chr5	45694523	45694524	cg07564287
chr5	50259133	50259134	cg01829002
chr5	50686281	50686282	cg17686487
chr5	53075687	53075688	cg20971045
chr5	54281198	54281199	cg14972155
chr5	58082727	58082728	cg16987982
chr5	58082800	58082801	cg07593523
chr5	58865918	58865919	cg15834202
chr5	58883392	58883393	cg18804667
chr5	60458778	60458779	cg13028113
chr5	60458807	60458808	cg09645336
chr5	67483475	67483476	cg03871267
chr5	68484783	68484784	cg21993406
chr5	70746259	70746260	cg07752120
chr5	70746330	70746331	cg26624732
chr5	71462729	71462730	cg20954533
chr5	71853215	71853216	cg25125298
chr5	72618117	72618118	cg23268783
chr5	72666838	72666839	cg11316517
chr5	72715514	72715515	cg01875459
chr5	72729890	72729891	cg05213379
chr5	72793693	72793694	cg10441379
chr5	72795181	72795182	cg23035209
chr5	73109241	73109242	cg20417500
chr5	74161231	74161232	cg07222505
chr5	74350214	74350215	cg08474748
chr5	74532268	74532269	cg22935653
chr5	75376460	75376461	cg18480654
chr5	76170418	76170419	cg20664638
chr5	77144016	77144017	cg08216684
chr5	78365801	78365802	cg03400060
chr5	78407418	78407419	cg10982664
chr5	79378772	79378773	cg19025234
chr5	79378955	79378956	cg26286839
chr5	81702289	81702290	cg18178840
chr5	86709409	86709410	cg17341345
chr5	87083582	87083583	cg16169833
chr5	90236557	90236558	cg15221739
chr5	90575141	90575142	cg05211068
chr5	92106286	92106287	cg21035883
chr5	92906678	92906679	cg04461228
chr5	94621517	94621518	cg24803517
chr5	97703334	97703335	cg03849299
chr5	97761216	97761217	cg06898308
chr5	98108198	98108199	cg03885343
chr5	98714340	98714341	cg25226555
chr5	101119420	101119421	cg18665594
chr5	104090236	104090237	cg02750941
chr5	107040942	107040943	cg08666956
chr5	110062398	110062399	cg11641395
chr5	111684298	111684299	cg13967811
chr5	112573320	112573321	cg15676677
chr5	115297989	115297990	cg03890037
chr5	115419881	115419882	cg06814892
chr5	115697214	115697215	cg05931423
chr5	118747345	118747346	cg05191313
chr5	119801643	119801644	cg23149687
chr5	121298378	121298379	cg08834383
chr5	125570542	125570543	cg19607387
chr5	125930017	125930018	cg25476565
chr5	131281432	131281433	cg25547332
chr5	132945815	132945816	cg07368396
chr5	133448932	133448933	cg04467093
chr5	133468435	133468436	cg03989273
chr5	133513511	133513512	cg16653901
chr5	133708361	133708362	cg10942898
chr5	134372398	134372399	cg09713684
chr5	134802501	134802502	cg20426959
chr5	135365012	135365013	cg16031250
chr5	135538704	135538705	cg26817546
chr5	137828267	137828268	cg02579022
chr5	138723394	138723395	cg27020362
chr5	140180691	140180692	cg19777540
chr5	140201153	140201154	cg22459739
chr5	140229827	140229828	cg24792717
chr5	140230326	140230327	cg18029321
chr5	140248564	140248565	cg01369220
chr5	140248610	140248611	cg25024993
chr5	140249080	140249081	cg26514430
chr5	140261759	140261760	cg25967418
chr5	140420475	140420476	cg16259229
chr5	140464488	140464489	cg22984769
chr5	140474062	140474063	cg11182018
chr5	140474184	140474185	cg16454588
chr5	140475049	140475050	cg15389068
chr5	140475611	140475612	cg24448113
chr5	140480218	140480219	cg03504078
chr5	140566710	140566711	cg06928634
chr5	140593332	140593333	cg17763019
chr5	140602851	140602852	cg12396306
chr5	140602959	140602960	cg21522026
chr5	140603270	140603271	cg10804974
chr5	140627399	140627400	cg15006101
chr5	140683367	140683368	cg05638493
chr5	140735397	140735398	cg24996161
chr5	140744763	140744764	cg04773864
chr5	140763254	140763255	cg16505764
chr5	140774426	140774427	cg21915313
chr5	140778396	140778397	cg11655243
chr5	140783647	140783648	cg06776159
chr5	140798161	140798162	cg08935238
chr5	140806126	140806127	cg00888801
chr5	140857474	140857475	cg09581226
chr5	141339748	141339749	cg06627334
chr5	141348202	141348203	cg08665853
chr5	141805772	141805773	cg15672022
chr5	144726601	144726602	cg24908802
chr5	145316416	145316417	cg11670060
chr5	145895523	145895524	cg11613005
chr5	145895884	145895885	cg08503681
chr5	147093466	147093467	cg14615553
chr5	148724716	148724717	cg04993267
chr5	148929010	148929011	cg17009869
chr5	148929172	148929173	cg05654364
chr5	148929352	148929353	cg11416874
chr5	149546366	149546367	cg11117637
chr5	151150029	151150030	cg12924095
chr5	151304409	151304410	cg14319409
chr5	151785046	151785047	cg16172240
chr5	152022470	152022471	cg10931792
chr5	154164389	154164390	cg06062998
chr5	156477237	156477238	cg25988204
chr5	157001591	157001592	cg15598120
chr5	157117513	157117514	cg14444751
chr5	158524270	158524271	cg00594129
chr5	158524404	158524405	cg04248271
chr5	158531511	158531512	cg08777316
chr5	159560692	159560693	cg06687640
chr5	163187595	163187596	cg02104138
chr5	163723934	163723935	cg11144555
chr5	166710712	166710713	cg12659981
chr5	169011746	169011747	cg26706759
chr5	169407439	169407440	cg12688234
chr5	169407753	169407754	cg26972389
chr5	170816542	170816543	cg11927233
chr5	172654771	172654772	cg00363082
chr5	172662724	172662725	cg24767237
chr5	172668965	172668966	cg08917878
chr5	172710360	172710361	cg12352302
chr5	173042843	173042844	cg06547513
chr5	173728459	173728460	cg14459046
chr5	174543104	174543105	cg16698913
chr5	176172918	176172919	cg25663304
chr5	176274344	176274345	cg16268165
chr5	176736591	176736592	cg25368647
chr5	176827697	176827698	cg00642460
chr5	177413021	177413022	cg08871495
chr5	178204766	178204767	cg27597459
chr5	178422260	178422261	cg01281157
chr5	178594649	178594650	cg03993109
chr5	178692728	178692729	cg10213542
chr5	178692806	178692807	cg06495631
chr5	179048967	179048968	cg20773320
chr5	179106333	179106334	cg08962798
chr5	179228859	179228860	cg10561067
chr5	179597454	179597455	cg19473068
chr5	179634789	179634790	cg14544666
